match_id,team_color,goal_difference,match_duration,overtime,player_count,winner,afk_probability,match_date,goal_diff_category,duration_bucket,is_competitive,team_mode,team_color_encoded,mode_Doubles,mode_Duel,mode_Standard,winner_encoded
1,Orange,5,361,False,3,Orange,0.08,2025-11-18,large_win,long,0,Orange_Standard,1,False,False,True,2
2,Orange,6,394,False,3,Orange,0.1,2025-06-20,large_win,long,0,Orange_Standard,1,False,False,True,2
3,Blue,-3,249,False,1,Orange,0.116,2025-08-30,large_loss,short,0,Blue_Duel,0,False,True,False,2
4,Blue,-5,338,False,3,Orange,0.056,2025-06-17,large_loss,normal,0,Blue_Standard,0,False,False,True,2
5,Blue,-5,301,False,2,Orange,0.064,2025-11-22,large_loss,normal,0,Blue_Doubles,0,True,False,False,2
6,Blue,-4,315,False,3,Orange,0.054,2025-11-16,large_loss,normal,0,Blue_Standard,0,False,False,True,2
7,Orange,1,328,False,2,Orange,0.097,2025-08-10,close,normal,1,Orange_Doubles,1,True,False,False,2
8,Orange,5,323,False,1,Orange,0.099,2025-09-05,large_win,normal,0,Orange_Duel,1,False,True,False,2
9,Blue,-3,274,False,2,Orange,0.101,2025-11-20,large_loss,short,0,Blue_Doubles,0,True,False,False,2
10,Blue,2,251,False,2,Blue,0.12,2025-08-29,small_win,short,1,Blue_Doubles,0,True,False,False,0
11,Blue,2,377,False,2,Blue,0.071,2025-08-25,small_win,long,1,Blue_Doubles,0,True,False,False,0
12,Orange,3,361,True,2,Orange,0.088,2025-11-03,small_win,long,0,Orange_Doubles,1,True,False,False,2
13,Blue,-5,319,False,1,Orange,0.095,2025-08-17,large_loss,normal,0,Blue_Duel,0,False,True,False,2
14,Orange,6,358,False,2,Orange,0.078,2025-07-04,large_win,normal,0,Orange_Doubles,1,True,False,False,2
15,Orange,5,291,False,1,Orange,0.127,2025-07-12,large_win,short,0,Orange_Duel,1,False,True,False,2
16,Orange,-2,397,True,2,Blue,0.082,2025-07-20,small_loss,long,1,Orange_Doubles,1,True,False,False,0
17,Blue,6,374,False,1,Blue,0.051,2025-09-06,large_win,long,0,Blue_Duel,0,False,True,False,0
18,Orange,5,443,True,2,Orange,0.08,2025-10-12,large_win,very_long,0,Orange_Doubles,1,True,False,False,2
19,Blue,-1,371,False,3,Orange,0.063,2025-10-30,small_loss,long,1,Blue_Standard,0,False,False,True,2
20,Blue,3,369,False,1,Blue,0.061,2025-07-05,small_win,long,0,Blue_Duel,0,False,True,False,0
21,Orange,2,383,False,3,Orange,0.097,2025-10-06,small_win,long,1,Orange_Standard,1,False,False,True,2
22,Blue,2,344,False,2,Blue,0.072,2025-09-10,small_win,normal,1,Blue_Doubles,0,True,False,False,0
23,Orange,-2,373,False,2,Blue,0.085,2025-08-13,small_loss,long,1,Orange_Doubles,1,True,False,False,0
24,Blue,-5,346,False,1,Orange,0.089,2025-11-16,large_loss,normal,0,Blue_Duel,0,False,True,False,2
25,Blue,-4,331,False,3,Orange,0.079,2025-10-16,large_loss,normal,0,Blue_Standard,0,False,False,True,2
26,Orange,-1,411,False,2,Blue,0.064,2025-09-27,small_loss,long,1,Orange_Doubles,1,True,False,False,0
27,Orange,-4,281,False,3,Blue,0.125,2025-06-17,large_loss,short,0,Orange_Standard,1,False,False,True,0
