match_id,team_color,game_mode,goal_difference,match_duration,overtime,player_count,winner,afk_probability,match_date,goal_diff_category,duration_bucket,is_competitive,team_mode
1,Orange,Standard,5,361,False,3,Orange,0.08,2025-11-18,large_win,long,0,Orange_Standard
2,Orange,Standard,6,394,False,3,Orange,0.1,2025-06-20,large_win,long,0,Orange_Standard
3,Blue,Duel,-3,249,False,1,Orange,0.116,2025-08-30,large_loss,short,0,Blue_Duel
4,Blue,Standard,-5,338,False,3,Orange,0.056,2025-06-17,large_loss,normal,0,Blue_Standard
5,Blue,Doubles,-5,301,False,2,Orange,0.064,2025-11-22,large_loss,normal,0,Blue_Doubles
6,Blue,Standard,-4,315,False,3,Orange,0.054,2025-11-16,large_loss,normal,0,Blue_Standard
7,Orange,Doubles,1,328,False,2,Orange,0.097,2025-08-10,close,normal,1,Orange_Doubles
8,Orange,Duel,5,323,False,1,Orange,0.099,2025-09-05,large_win,normal,0,Orange_Duel
9,Blue,Doubles,-3,274,False,2,Orange,0.101,2025-11-20,large_loss,short,0,Blue_Doubles
10,Blue,Doubles,2,251,False,2,Blue,0.12,2025-08-29,small_win,short,1,Blue_Doubles
11,Blue,Doubles,2,377,False,2,Blue,0.071,2025-08-25,small_win,long,1,Blue_Doubles
12,Orange,Doubles,3,361,True,2,Orange,0.088,2025-11-03,small_win,long,0,Orange_Doubles
13,Blue,Duel,-5,319,False,1,Orange,0.095,2025-08-17,large_loss,normal,0,Blue_Duel
14,Orange,Doubles,6,358,False,2,Orange,0.078,2025-07-04,large_win,normal,0,Orange_Doubles
15,Orange,Duel,5,291,False,1,Orange,0.127,2025-07-12,large_win,short,0,Orange_Duel
16,Orange,Doubles,-2,397,True,2,Blue,0.082,2025-07-20,small_loss,long,1,Orange_Doubles
17,Blue,Duel,6,374,False,1,Blue,0.051,2025-09-06,large_win,long,0,Blue_Duel
18,Orange,Doubles,5,443,True,2,Orange,0.08,2025-10-12,large_win,very_long,0,Orange_Doubles
19,Blue,Standard,-1,371,False,3,Orange,0.063,2025-10-30,small_loss,long,1,Blue_Standard
20,Blue,Duel,3,369,False,1,Blue,0.061,2025-07-05,small_win,long,0,Blue_Duel
21,Orange,Standard,2,383,False,3,Orange,0.097,2025-10-06,small_win,long,1,Orange_Standard
22,Blue,Doubles,2,344,False,2,Blue,0.072,2025-09-10,small_win,normal,1,Blue_Doubles
23,Orange,Doubles,-2,373,False,2,Blue,0.085,2025-08-13,small_loss,long,1,Orange_Doubles
24,Blue,Duel,-5,346,False,1,Orange,0.089,2025-11-16,large_loss,normal,0,Blue_Duel
25,Blue,Standard,-4,331,False,3,Orange,0.079,2025-10-16,large_loss,normal,0,Blue_Standard
26,Orange,Doubles,-1,411,False,2,Blue,0.064,2025-09-27,small_loss,long,1,Orange_Doubles
27,Orange,Standard,-4,281,False,3,Blue,0.125,2025-06-17,large_loss,short,0,Orange_Standard
28,Blue,Duel,-2,291,False,1,Orange,0.1,2025-06-21,small_loss,short,1,Blue_Duel
29,Orange,Standard,1,402,False,3,Orange,0.063,2025-09-19,close,long,1,Orange_Standard
30,Blue,Doubles,1,290,False,2,Blue,0.119,2025-10-29,close,short,1,Blue_Doubles
31,Orange,Standard,-5,425,False,3,Blue,0.054,2025-07-21,large_loss,very_long,0,Orange_Standard
32,Blue,Duel,3,327,False,1,Blue,0.098,2025-11-17,small_win,normal,0,Blue_Duel
33,Orange,Duel,3,313,False,1,Orange,0.089,2025-10-30,small_win,normal,0,Orange_Duel
34,Blue,Duel,2,271,False,1,Blue,0.105,2025-11-15,small_win,short,1,Blue_Duel
35,Orange,Doubles,-5,365,False,2,Blue,0.088,2025-07-26,large_loss,long,0,Orange_Doubles
36,Blue,Doubles,2,268,False,2,Blue,0.102,2025-10-18,small_win,short,1,Blue_Doubles
37,Orange,Doubles,-2,392,False,2,Blue,0.071,2025-10-09,small_loss,long,1,Orange_Doubles
38,Orange,Standard,-2,336,False,3,Blue,0.098,2025-08-07,small_loss,normal,1,Orange_Standard
39,Blue,Standard,-4,357,False,3,Orange,0.075,2025-07-24,large_loss,normal,0,Blue_Standard
40,Orange,Duel,-6,385,False,1,Blue,0.069,2025-07-31,large_loss,long,0,Orange_Duel
41,Orange,Standard,-2,280,False,3,Blue,0.145,2025-10-24,small_loss,short,1,Orange_Standard
42,Blue,Duel,-6,400,False,1,Orange,0.073,2025-06-15,large_loss,long,0,Blue_Duel
43,Orange,Duel,-4,372,False,1,Blue,0.064,2025-08-17,large_loss,long,0,Orange_Duel
44,Orange,Duel,2,238,False,1,Orange,0.246,2025-07-22,small_win,short,1,Orange_Duel
45,Orange,Standard,-2,528,True,3,Blue,0.061,2025-09-21,small_loss,very_long,1,Orange_Standard
46,Blue,Standard,3,392,False,3,Blue,0.067,2025-07-17,small_win,long,0,Blue_Standard
47,Blue,Doubles,-2,285,False,2,Orange,0.127,2025-08-08,small_loss,short,1,Blue_Doubles
48,Blue,Standard,-2,379,False,3,Orange,0.095,2025-07-05,small_loss,long,1,Blue_Standard
49,Blue,Doubles,3,351,False,2,Blue,0.064,2025-07-22,small_win,normal,0,Blue_Doubles
50,Orange,Doubles,-3,389,False,2,Blue,0.099,2025-08-28,large_loss,long,0,Orange_Doubles
51,Blue,Duel,3,529,True,1,Blue,0.093,2025-10-18,small_win,very_long,0,Blue_Duel
52,Blue,Duel,5,245,False,1,Blue,0.122,2025-10-17,large_win,short,0,Blue_Duel
53,Blue,Doubles,3,371,False,2,Blue,0.096,2025-06-01,small_win,long,0,Blue_Doubles
54,Blue,Duel,6,249,False,1,Blue,0.145,2025-08-16,large_win,short,0,Blue_Duel
55,Blue,Duel,-1,263,False,1,Orange,0.111,2025-06-25,small_loss,short,1,Blue_Duel
56,Orange,Standard,1,326,False,3,Orange,0.059,2025-11-16,close,normal,1,Orange_Standard
57,Blue,Doubles,5,370,False,2,Blue,0.061,2025-07-10,large_win,long,0,Blue_Doubles
58,Blue,Doubles,-3,542,True,2,Orange,0.09,2025-11-08,large_loss,very_long,0,Blue_Doubles
59,Blue,Duel,0,301,False,1,Draw,0.081,2025-08-22,close,normal,1,Blue_Duel
60,Blue,Duel,0,363,False,1,Draw,0.072,2025-10-28,close,long,1,Blue_Duel
61,Blue,Duel,4,260,False,1,Blue,0.129,2025-09-24,large_win,short,0,Blue_Duel
62,Blue,Doubles,2,416,False,2,Blue,0.088,2025-08-14,small_win,long,1,Blue_Doubles
63,Blue,Standard,-5,426,False,3,Orange,0.059,2025-11-13,large_loss,very_long,0,Blue_Standard
64,Orange,Duel,-4,366,False,1,Blue,0.072,2025-09-21,large_loss,long,0,Orange_Duel
65,Blue,Standard,0,285,False,3,Draw,0.104,2025-09-25,close,short,1,Blue_Standard
66,Blue,Doubles,6,298,False,2,Blue,0.142,2025-10-01,large_win,short,0,Blue_Doubles
67,Orange,Duel,-1,386,False,1,Blue,0.063,2025-08-29,small_loss,long,1,Orange_Duel
68,Orange,Standard,-5,382,False,3,Blue,0.084,2025-08-14,large_loss,long,0,Orange_Standard
69,Orange,Doubles,3,489,True,2,Orange,0.06,2025-11-04,small_win,very_long,0,Orange_Doubles
70,Blue,Standard,0,357,False,3,Draw,0.092,2025-11-13,close,normal,1,Blue_Standard
71,Blue,Standard,-3,423,True,3,Orange,0.089,2025-06-14,large_loss,very_long,0,Blue_Standard
72,Orange,Duel,0,249,False,1,Draw,0.147,2025-10-29,close,short,1,Orange_Duel
73,Blue,Standard,3,313,False,3,Blue,0.086,2025-08-29,small_win,normal,0,Blue_Standard
74,Orange,Duel,-3,401,True,1,Blue,0.063,2025-10-06,large_loss,long,0,Orange_Duel
75,Orange,Standard,-4,270,False,3,Blue,0.126,2025-11-21,large_loss,short,0,Orange_Standard
76,Orange,Doubles,-2,402,False,2,Blue,0.056,2025-06-30,small_loss,long,1,Orange_Doubles
77,Orange,Duel,-2,279,False,1,Blue,0.119,2025-06-27,small_loss,short,1,Orange_Duel
78,Blue,Doubles,-5,405,False,2,Orange,0.082,2025-07-13,large_loss,long,0,Blue_Doubles
79,Blue,Duel,5,314,False,1,Blue,0.062,2025-10-19,large_win,normal,0,Blue_Duel
80,Blue,Doubles,-2,316,False,2,Orange,0.073,2025-06-14,small_loss,normal,1,Blue_Doubles
