match_id,team_color,game_mode,goal_difference,match_duration,overtime,player_count,winner,afk_probability,match_date
1,Orange,Standard,5,361,False,3,Orange,0.08,2025-11-18
2,Orange,Standard,6,394,False,3,Orange,0.1,2025-06-20
3,Blue,Duel,-3,249,False,1,Orange,0.116,2025-08-30
4,Blue,Standard,-5,338,False,3,Orange,0.056,2025-06-17
5,Blue,Doubles,-5,301,False,2,Orange,0.064,2025-11-22
6,Blue,Standard,-4,315,False,3,Orange,0.054,2025-11-16
7,Orange,Doubles,1,328,False,2,Orange,0.097,2025-08-10
8,Orange,Duel,5,323,False,1,Orange,0.099,2025-09-05
9,Blue,Doubles,-3,274,False,2,Orange,0.101,2025-11-20
10,Blue,Doubles,2,251,False,2,Blue,0.12,2025-08-29
11,Blue,Doubles,2,377,False,2,Blue,0.071,2025-08-25
12,Orange,Doubles,3,361,True,2,Orange,0.088,2025-11-03
13,Blue,Duel,-5,319,False,1,Orange,0.095,2025-08-17
14,Orange,Doubles,6,358,False,2,Orange,0.078,2025-07-04
15,Orange,Duel,5,291,False,1,Orange,0.127,2025-07-12
16,Orange,Doubles,-2,397,True,2,Blue,0.082,2025-07-20
17,Blue,Duel,6,374,False,1,Blue,0.051,2025-09-06
18,Orange,Doubles,5,443,True,2,Orange,0.08,2025-10-12
19,Blue,Standard,-1,371,False,3,Orange,0.063,2025-10-30
20,Blue,Duel,3,369,False,1,Blue,0.061,2025-07-05
21,Orange,Standard,2,383,False,3,Orange,0.097,2025-10-06
22,Blue,Doubles,2,344,False,2,Blue,0.072,2025-09-10
23,Orange,Doubles,-2,373,False,2,Blue,0.085,2025-08-13
24,Blue,Duel,-5,346,False,1,Orange,0.089,2025-11-16
25,Blue,Standard,-4,331,False,3,Orange,0.079,2025-10-16
26,Orange,Doubles,-1,411,False,2,Blue,0.064,2025-09-27
27,Orange,Standard,-4,281,False,3,Blue,0.125,2025-06-17
28,Blue,Duel,-2,291,False,1,Orange,0.1,2025-06-21
